,ceNumber,title,source,firstAppeared,tune,creditMusic,creditArrangement,creditLyrics,creditLyricsEdits,creditCopyright,lyricsFirstLineBody,lyricsFirstLineChorus,scriptureReference,inscription
18,19,We’re Marching To Zion,484,9,,"Robert Lowry, 1826-1899 (1867)",,"Isaac Watts, 1674-1748 (1707)",Chorus by Robert Lowry,,"Come, we that love the Lord","We’re marching to Zion,  Beautiful",,
19,20,"Lord, How Delightful",235,7,"SESSIONS, L. M.","I. O. Emerson, 1820-1915 (1847)",,"Isaac Watts, 1674-1748",,,"Lord, how delightful ’tis to see",,,
20,21,"Holy, Holy, Holy",6,1,"NICAEA, Irr.","John B. Dykes, 1823-1876",,"Reginald Heber, 1783-1826",,,"Holy, holy, holy! Lord, God almighty!",,Isaiah 6:3; Revelation 4:8,
21,22,"My Jesus, I Love Thee",18,1,GORDON,"Adoniram J. Gordon, 1836-1895 (1876)",,"William R. Featherstone, 1846-1873 (1862)",,,"My Jesus, I love Thee, I know Thou",,,
22,23,Awake and Sing the Song,12,1,WEBSTER S.M.,from Southern Harmony (1835),ed. for Old School Hymnal (2020),"from William Hammond, 1719-1783 (1743)",,,Awake and sing the song of Moses,,Revelation 15:3,
23,24,I’m Not Ashamed To Own My Lord,52,1,"AZMON, C.M.","Carl G. Gläser, 1784-1829 (1828)","Arr. by Lowell Mason, 1792-1872 (1839)","Isaac Watts, 1674-1748 (1707)",,,I'm not ashamed to own my Lord,,,
24,25,Again From Calm And Sweet Repose,24,10,"BALM, C.M.",J. N. Pittman (1835),,"attr. to Charles Philpot, 1759-1823",,,Again from calm and sweet repose,,,
25,26,"Blest Jesus, While in Mortal Flesh",288,10,"SHARPSBURG, C.M.","J.P. Rees, 1828-1900 &
J.A.Z. Shell, 1829–1918 (1869)
arr. by Elder Roland Green, 1924-2011",arr. by Elder Roland Green 1924-2011,"Philip Doddridge, 1702-1751",,,"Blest Jesus, while in mortal flesh I hold",,,
26,27,I Love To Tell The Story,120,1,,"William C. Fischer, 1835-1912 (1869)",,"Arabella, K. Hankey, 1834-1911 (1866)",,,I love to tell the story of unseen things above,I love to tell the story,,
27,28,In Thy Great Name,30,1,"CONDESCENSION, C.M.","Ananias Davisson, 1780-1857 (1817)","arr. by J.H. Stockton, 1813-1877","from Joseph Hoskins, 1745-1788",,,"In Thy great name, O Lord we come",,,
28,29,O How I Love Jesus,10,1,,19th Century American Melody,,"Frederick Whitfield, 1829-1904 (1855)",,,There is a name I love to hear,O how I love Jesus,,
29,30,Hark! Ten Thousand Harps,31,1,"HARWELL, 8’s & 7’s","Lowell Mason, 1792-1872",,"from Thomas Kelly, 1769-1855",,,"Hark, ten thousand harps and voices",,,
30,31,Praise Him! Praise Him!,37,10,,"Chester G. Allen, 1838-1878",,"Fanny J. Crosby, 1820-1915",,,"Praise HIm! Praise HIm! Jesus, our blessed",Praise HIm! Praise HIm! Tell of His,,
31,32,Tell Me The Story Of Jesus,122,10,,"John R. Sweney, 1837-1899",,"Fanny J. Crosby, 1820-1915",,,Tell me the story of Jesus. Write on my heart,Tell me the story of Jesus.,,
32,33,To Him Who Did Salvation Bring,48,10,"GOODWIN, C.P.M.",,"arr. from Jeremiah Ingalls, 1764-1838 (1804)",,,,"To him who did salvation bring, Wake",,,
33,34,"Praise To The Lord, The Almighty",488,12,LOBE DEN HERREN,“Stralsund Gesangbuch” (1665),"harm. by William S. Bennett, 1816-1875 (1864)","from Joachim Neander, 1650-1680 (1680)","trans. by Catherine Winkworth, 1827-1878 (1863)",,"Praise to the Lord, the almighty, the King",,,
34,35,Grace Is Free,40,5,,S. J. Perry,,S. J. Perry,,,"Praise ye the Lord, O praise HIm ev'ry nation","Glory, glory, glory, hallelujah!",,
35,36,Ye Servants of God,155,9,"LYONS, 10.10.11.11.","attr. to Johann M. Haydn, 1737-1806","arr. by William Gardiner, 1769-1853 (1815)","from Charles Wesley, 1707-1788 (1744)",,,"Ye servants of God, your Master proclaim",,,
36,37,"O God, Beyond All Praising",SOZ - 51,OSH100,"THAXTED, 13’s","Gustav Holst, 1874-1934","arr. by Bro. Joey Lowrance, 1970-","Michael Perry, 1942-1996",,"Words © Copyright 1982 The Jubilate Group (Admin by Hope Publishing Company, Carroll Stream, IL 60188). All rights reserved. Used by permission.","O God, beyond all praising, we worship you",,,
37,38,Fairest Lord Jesus,20,10,CRUSADER’S HYMN,12th Century Melody,"Arr. by R. S. Willis, 1819-1900; alt.",Münster Gesangbuch (1677),trans. by Joseph Seiss (1873),,"Fairest Lord Jesus, Ruler of all nature",,,
38,39,Take The Name Of Jesus With You,193,1,"PRECIOUS NAME, 8.7.8.7. with Chorus","William H. Doane, 1832-1915 (1871)",,"Mrs. Lydia Baxter, 1809-1874 (1870)",,,Take the name of Jesus with you,"Precious name, O how sweet!",,
39,40,How Sweet The Name,212,1,ORTONVILLE. C.M. ,"Thomas Hastings, 1784-1872 (1837)",,"John Newton, 1725-1807 (1779)",,,How sweet the name of Jesus sounds,,,
40,41,Hark! The Jubilee Is Sounding,165,10,,Supplement to The Kentucky Harmony (1820),"Arr. by Elder Roland Green, 1924-2011",The Baltimore Collection (1801),,,Hark! The jubilee is sounding,"Glory, honor, and salvation",,
41,42,O Sing Of His Mighty Love,46,10,11’s with Chorus,"William B. Bradbury, 1816-1868",,,,,O bliss of the purified!,O sing of his mighty love,Isaiah 63:1,
42,43,Wonderful Jesus,132,9,9’s with Chorus,J. P. Denton,,"James Rowe, 1865-1933",,,Wonderful Jesus! Glorious friend!,Wonderful Jesus! Marvelous King!,,
43,44,To Our Redeemer’s Glorious Name,4,10,REDEEMING LOVE. C.M.,"Aldine S. Kieffer, 1840-1904",,"from Anne Steele, 1717-1778 (1760)",,,To our Redeemer’s glorious name awake,Redeeming love has been my theme,,
44,45,I Love Jesus,320,1,NETTLETON. 8’s & 7’s,"John Wyeth, 1770-1858 (1813)",ed. for Old School Hymnal (2020),"William H. Bathurst, 1796-1877",,,When the world my heart is rending,I love Jesus! Hallelujah!,,
45,46,Just The Same Today,441,7,,"Elder J. Harvey Daily, 1881-1964",,"Elder J. Harvey Daily, 1881-1964",,,When Moses and the Israelites,"He’s just the same today, ",,
46,47,More About Jesus,187,10,L.M. with Chorus,"John R. Sweney, 1837-1899",,"Eliza E. Hewitt, 1851-1920 (1887)",,,More about Jesus would I know,"More, more about Jesus",,
47,48,My Savior’s Love,270,10,8.7.8.7. with Chorus,"Charles H. Gabriel, 1856-1932",,"Charles H. Gabriel, 1856-1932",alt. for Old School Hymnal (2020),,I stand amazed in the presence,How marvelous! how wonderful!,,
48,49,"Hallelujah, Praise Jehovah!",357,OLH2,8.7.8.7.D. with Chorus,"William J. Kirkpatrick, 1838-1921",,"William J. Kirkpatrick, 1838-1921",,,"Hallelujah, praise Jehovah!",Let them praises give Jehovah,Psalm 148,
49,50,"10,000 Reasons (Bless the Lord)",SOZ - 30,OSH100,,"Jonas Myrin, 1982-  & Matt Redmon 1974- (2011)",arr. by Mike Rogers,"Jonas Myrin, 1982-  & Matt Redmon 1974- (2011)",,"© 2011 Shout! Publishing (APRA) (admin in the US and Canada at EMICMGPublishing.com)/Thankyou Music (PRS) (admin worldwide at EMICMGPublishing.com excluding Europe which is admin by Kingswaysongs)/worshiptogether.com Songs (ASCAP), Sixsteps Music (ASCAP),  Said and Done Music (ASCAP) (admin at EMICMGPublishing.com) All rights reserved. Used by permission.","The sun comes up, it’s a new day dawning","Bless the Lord, oh my soul,",,
50,51,Joy Unspeakable,293,9,,"B.E. Warren, 1867-1951",,"B.E. Warren, 1867-1951",,,I have found His grace is all complete,It is joy unspeakable and full of glory,1st Peter 1:3,
51,52,"Jesus, Blessed Jesus",559,11,,"Elder Ralph E. Harris, 1938-2016 (1977)",,"Elder Ralph E. Harris, 1938-2016 (1974)",,© Copyright Old School Hymnal Co. Inc. All rights reserved.,"My dear Jesus, blessed Jesus",,,
52,53,"Joyful, Joyful, We Adore Thee",543,OLH2,"HYMN TO JOY, 8.7.8.7.D","Ludwig van Beethoven, 1770-1827 (1824)","arr. by Edward Hodges, 1796-1867 (1864)","Henry Van Dyke, 1852-1933 (1907)",,,"Joyful, joyful we adore Thee",,,
53,54,Jesus! What A Friend For Sinners,444,OLH2,"HYFRYDOL, 8.7.8.7.D.","Rowland H. Prichard, 1811-1887 (1830)","arr. by Robert Harkness, 1800-1861","from J. Wilbur Chapman, 1859-1918 (1910)",,,Jesus! what a friend for sinners!,Hallelujah! What a Savior!,Luke 7:34,
54,55,Heavenly Sunlight,600,12,,"George H. Cook, 1864-1946",,"Henry J. Zelley, 1859-1942 (1899)",,,Walking in sunlight all of my journey,"Heavenly sunlight, heavenly sunlight",,
55,56,The Half Was Never Told,494,5,,"Philip P. Bliss, 1838-1876",,"Philip P. Bliss, 1838-1876",,,Repeat the story o’er and o’er,The half was never told,,
56,57,Victory In Jesus,421,10,HARTFORD,"Eugene M. Bartlett, 1885-1941 (1939)",,"Eugene M. Bartlett, 1885-1941 (1939); alt.",,"© Copyright 1939 E.M. Bartlett. Renewal 1967 Albert E, Brumley and Sons. All rights reserved. Used by permssion of ICG.","I heard an old, old story",O victory in Jesus! My Savior,,
57,58,Alleluia!,556,OLH2,,"Jerry Sinclair, 1943-","arr. by Elder Roland Green, 1924-2011 (1995)","Elder Roland Green, 1924-2011 (1995)",,"© Copyright 1972 by Manna Music, Inc. 35255 Brooten Road, Pacific City, OR 97135
All reights reserved. Used by permission.",Al-le-lu-ia! Al-le-lu-ia! Let us praise,,,
58,59,"O the Deep, Deep Love of Jesus",SOZ - 22,OSH100,"EBENEZER, 8.7.8.7.D.","Thomas J. Williams, 1869-1944 (1890)",,"Samuel Trevor Francis, 1834-1925 (1875)",,,"O the deep, deep love of Je-sus,",,,
59,60,"Hallelujah, What A Savior!",546,OLH2,,"Philip P. Bliss, 1838-1876",,"Philip P. Bliss, 1838-1876",,,"Man of sorrows, what a name","Hallelujah, what a Savior!",Isaiah 53:3; John 19:30,
60,61,I Will Call Upon The Lord,478,OLH2,,"Michael O’Shields, 1948-","arr. by Elder Roland Green, 1924-2011 (1994)",from Psalm 18,,© Copyright 1981 and this arr. © 1996 Sound III & All Nations Music. All Rights Reserved. Used by permission.,"I will call upon the Lord, Who is worthy","The Lord liveth, and blessed be",Psalm 18,
61,62,The Lord Jehovah Reigns,160,10,DALSTON. S.P.M. ,"Aaron Williams, 1731-1776 (1763)",,"from Isaac Watts, 1674-1748",,,The Lord Jehovah reigns,,Psalm 93,
62,63,The Lily Of The Valley,448,1,,English Melody,"arr. by W.S. Hays, 1837-1907","Charles W. Fry, 1837-1882",,,I  have found a friend in Jesus,He’s the Lily of the Valley,,
63,64,"Oh! Christ, He Is The Fountain",188,10,WEBB. 7s & 6s. D.,"George J. Webb, 1803-1887",,A. R. Cousin,,,"Oh! Christ, He is the fountain",,,
64,65,The Great Physician,203,1,8.7.8.7. with Chorus,"John H. Stockton, 1813-1877",,"William Hunter, 1811-1877",,,The great Physician now is near,Sweetest note in seraph song,,
65,66,Praise the Lord,487,OLH2,"NEW SHILOH, 8.7.8.7.","Elder Roland Green, 1924-2011",,"Elder Roland Green, 1924-2011",,"© Copyright 1996 Old School Hymnal Co., Inc. in Our Little Hymnal. All rights reserved.","Praise the Lord, let all creation",,,
66,67,I Will Sing The Wondrous Story,443,10,,"Peter P. Bilhorn, 1865-1936",,"Francis H. Rowley, 1854-1952",,,I will sing the wondrous story,"Yes, I’ll sing the wondrous story",,
67,68,"Jesus, And Shall It Ever Be",189,,"CORINTH, L.M.",John Massengale (1844),"arr. by Elder Roland Green, 1924-2011","from Joseph Grigg, 1720-1768 (1765)",,,"Jesus, and shall it ever be",,,
68,69,Worthy Art Thou!,509,11,10.9.10.9. with Chorus,"Tillit S. Teddlie, 1885-1987",,"Tillit S. Teddlie, 1885-1987",,© Copyright 1932 by Gospel Advocate Company  All rights reserved. Used by permssion.,Worthy of praise is Christ our Redeemer,"Worthy of riches, blessings, and honor",,
69,70,Enough for Me,127,1,,"E.A. Hoffman, 1839-1929",,"E.A. Hoffman, 1839-1929",,,"O love, surpassing knowledge",And that’s enough for me,,
70,71,Jesus Is All The World To Me,334,OLH2,ELIZABETH,"Will L. Thompson, 1847-1909 (1904)",,"Will L. Thompson, 1847-1909 (1904)",,-,"Jesus is all the world to me,",,,
71,72,In The Beginning,511,OLH2,,"Elder Roland Green, 1924-2011 (1994) from a Russian Folk Tune",,"Elder Roland Green, 1924-2011 (1994)",,"© Copyright 1996 Old School Hymnal Co. Inc. in Our Little Hymnal.
All rights reserved.","Long ago, in the beginning when the earth",,Genesis 1,
72,73,Glorious Love,571,7,9.10.9.10. with Chorus,"Elder J. Harvey Daily, 1881-1964",,"Elder J. Harvey Daily, 1881-1964",,,Let us sing of Jesus and His love,"Sing of His love, glorious love",,
73,74,"O God, Our Help In Ages Past",167,10,"ST. ANNE, C.M.","William Croft, 1678-1727",,"from Isaac Watts, 1674-1748",,,"O God, our help in ages past",,,
74,75,Now To The Pow’r Of God Supreme,440,10,"GOING HOME, L.M.","Leonard P. Breedlove, 1803-1864 (1850)","alto by Elder C.H. Cayce, 1871-1945","Isaac Watts, 1674-1748 (1717)",,,Now to the pow’r of God supreme,"Right up yonder, Christians, away up",,
75,76,For the Beauty of the Earth,22,10,DIX,"Conrad Kocher, 1786-1872 (1838)",,"Folliott S. Pierpoint, 1835-1917",,,"For the beauty of the earth, For the glory","Christ, O God, to Thee we raise",,
76,77,How Great Thou Art,500,11,11.10.11.10. with Chorus,"Stuart K. Hine, 1899-1989 (1953)",,"Carl Boberg, 1859-1940 (1885)
trans. by Stuart K. Hine",,"© Copyright 1953, 1955 renewed. 1981 assigned to Manna Music, Inc.",O Lord my God! When I in awesome wonder,"Then sings my soul, my Savior, God",,
77,78,My Dream,308,9,6.5.6.5.,"J.M. Henson, 1887-1972",,"J.M. Henson, 1887-1972",,,"I sat by my Savior, and looked on his face",,,
78,79,We Sing The Greatness Of Our God,430,OLH2,ELLACOMBE,"Gesangbuch der Herzogl. 
Wirtembergischen (1784)",,"Isaac Watts, 1674-1748
alt. by Jeff Redd",,,We sing the greatness of our God,,,
79,80,Revive Us Again,19,10,,"John J. Husband, 1760-1825 (1815)",,"William P. Mackay, 1837-1885 (1863)",,,"We praise Thee, Oh God!",Hallelujah! Thine the glory,,
80,81,Who?,157,10,8.8.8.8.D.,Old German Tune,"arr. by Elder Roland Green, 1924-2011","Sis. June Hawks Goins, 1932-",,"© Copyright 1963 Old School Hymnal Co., Inc. All rights reserved.",Who flung the stars out into space,,,
81,82,This Is My Father’s World,177,10,"TERRA PATRIS, 6.6.8.6.D.",Traditional English Melody,"arr. by F.L. Sheppard, 1852-1930","Maltbie D. Babcock, 1858-1901",,,This is my Father’s world,,,
82,83,The Blessed Service Of Love,144,7,,"Elder J. Harvey Daily, 1881-1964",,"Elder R.H. Pittman, 1870-1941",,,Blessed are the saints who render,Cast your bread upon the waters,Ecclesiastes 11:1; 2nd Corinthians 9:7,
83,84,Conquering Love,163,7,,"Elder John R. Daily, 1854-1920",,"from Elder John R. Daily, 1854-1920",,,The voice of my Beloved spake,,Song of Solomon,
84,85,Zion’s Song,NEW - 124,OSH100,,Bro. Mason McCool 2001-  (2019),,Bro. Mason McCool 2001-  (2019),,,When the Lord turned again the captivity,,Psalm 126,
85,86,"O Sir, We Would See Jesus",185,10,7’s & 6’s,"Lowell Mason, 1792-1872",,,,,"O sir, we would see Jesus",,John 12:21,
86,87,"Fear Not, Little Flock",513,11,,"Elder Ralph E. Harris, 1938-2016",,"Elder Ralph E. Harris, 1938-2016
",,"© Copyright 1983 by Old School Hymnal Co., Inc. All rights reserved.",The souls of those who seek for wealth,,Luke 12:15-34,
87,88,People Of The Living God,257,1,ENNIUS,,,"James Montgomery, 1771-1854
",,,"People of the living God, I have sought",,Ruth 1:16,
88,89,"I Love Thy Kingdom, Lord",184,1,"BEALOTH, S.M.D.","L.C. Everett, 1818-1867",,"Timothy Dwight, 1752-1817",,,"I love Thy kingdom, Lord",,,
89,90,Return to the Beloved,SOZ - 35,OSH100,,"Sis. Maggie C. Hocutt, 1998- & Sis. Laney A. Hocutt, 2001- (2017)","alto by Bro. Matthew Arnold, 1999-",,,"© Copyright 2017 Maggie & Laney Hocutt.
All rights reserved. Used by permission.",Return my fair beloved; why am I,,from Song of Solomon,
90,91,On the Mountain’s Top Appearing,207,1,ZION,"Thomas Hastings, 1784-1872",,"Thomas Kelly, 1769-1855",,,On the mountain's top appearing ,,Isaiah 52:7,
91,92,Glorious Things Of Thee Are Spoken,213,1,"RIPLEY, 8.7.8.7.D.",from a Gregorian Chant,,"John Newton, 1725-1807 (1779)",,,Glorious things of Thee are spoken,,,
92,93,The Bride Of Christ,217,9,7.6.7.6. with Chorus,"Bro. J.F. Parker, 1907-1970",,"Bro. J.F. Parker, 1907-1970",,© Copyright 1956 J.F. Parker. All rights reserved.,The church of Christ we have today,The turtle dove is singing now,Song of Solomon 2:10,
93,94,"Help Us To Help Each Other, Lord",83,1,"BALERMA, C.M.","François H. Barthélémon, 1741-1808","arr. by Robert Simpson, 1790-1832","Charles Wesley, 1707-1788",,,"Help us to help each other, Lord",,,
94,95,Blest Are The Sons Of Peace,117,OLH2,"CLOVIS, S.M.","Dr. R. Paul Drummond, 1947-2007",,"Isaac Watts, 1674-1748",,,Blest are the sons of peace,,Psalm 133,"For Fairview Primitive Baptist Church; Clovis, New Mexico"
95,96,Is Not This The Land Of Beulah?,219,1,,,,,,,I am dwelling on the mountain,Is not this the land of Beulah?,,
96,97,"Lord, Revive Us",298,1,"RETURN AGAIN, 8’s & 7’s with Chorus",,"arr. by John B. Vaughan, 1860-1918","from John Newton, 1725-1807 (1779)",,,"Savior, visit Thy plantation","Lord revive us, Lord revive us",,
97,98,Dwelling In Beulah Land,367,10,,"C. Austin Miles, 1868-1946 (1911)",,"C. Austin Miles, 1868-1946 (1911)",,,Far away the noise of strife upon my ear ,I’m living on the mountain ,,
98,99,Ye Little Flock,210,1,"ELIZABETHTOWN, C.M.","George Kingsley, 1811-1884 (1838)",,,,,"Ye little flock, whom Jesus feeds",,Luke 12:32,
99,100,How Did My Heart Rejoice To Hear,PBH - 176,2,"MEAR, C.M.","attr. to Aaron Williams, 1731-1776 (1760)",,"Isaac Watts, 1674-1748 (1719)",,,How did my heart rejoice to hear,,Psalm 122,
100,101,I Love The Sons Of Grace,258,1,"MEDITATION, S.M.",Sosebee,"arr. by Elder Roland Green, 1924-2011",Baltimore Collection,,,I love the sons of grace,,,
101,102,Here In The Vineyard,296,10,"THE CHURCH’S DESOLATION, 8.7.8.7.D.","J.T. White, 1821-1894 (1844)","arr. by Elder Roland Green, 1924-2011; ed.",,,,Here in the vineyard of my Lord,,,
102,103,"Great God, Attend",524,11,"DUKE STREET, L.M.","John Hatton, 1710-1793",,"Isaac Watts, 1674-1748",,,"Great God, attend while Zion sings",,,
103,104,"Come, Ye Thankful People",150,10,"ST. GEORGE’S WINDSOR, 7.7.7.7.D.","George J. Elvey, 1816-1893",,"Henry Alford, 1810-1871",,,"Come, ye thankful people",,,
104,105,That Little Old Church,410,9,,Bro. J.D. Patrick,,Bro. J.D. Patrick,,"© Copyright 1953 Old School Hymnal Co., Inc.",There’s a little old church,O that little old church,,
105,106,House Of The Lord,218,7,12’s,Austin Lane,arr.,"William Hunter, 1811-1877 (1845)",,,You may sing of the beauty of mountain,,,
106,107,"Assist Thy Servant, Lord",56,2,"SABBATH, S.M.",,"arr. by Elder Roland Green, 1924-2011","from William Dossey, 1778-1853 (1820)",,,"Assist thy servant, Lord",,,
107,108,Blest Be The Tie That Binds,309,1,"DENNIS, S.M.","Hans Georg Nägeli, 1773-1836","arr. by Lowell Mason, 1792-1872 (1832)","John Fawcett, 1740-1817",,,Blest be the tie that binds our hearts,,,
108,109,The Church’s One Foundation,214,10,"AURELIA, 7.6.7.6.D.","Samuel S. Wesley, 1810-1876 (1864)",,"Samuel J. Stone, 1839-1900 (1866)",,,The church’s one foundation is Jesus,,,
109,110,"O Help Us, Lord!",581,1,"REDEEMING LOVE, C.M.","Aldine S. Kieffer, 1840-1904",,"Henry H. Milman, 1791-1868",,,"O help us, Lord! Each hour of need,",,,
110,111,How Pleased and Blest Was I,549,11,"AMITY, S.P.M.",Daniel Read (1785),,"Isaac Watts, 1674-1748 (1719)",,,How pleased and blest was I,,,
111,112,Come And Dine,431,OLH2,,"Charles B. Widmeyer, 1884-1974 (1907)",arr. by S.H. Bolton,"Charles B. Widmeyer, 1884-1974 (1907)",,,Jesus has a table spread,"Come and dine, the Master calleth",,
112,113,Break Thou The Bread Of Life,227,10,"BREAD OF LIFE, 6.4.6.4.D.","William F. Sherwin, 1826-1888 (1877)",,"Mary Ann Lathbury, 1841-1913 (1877)",,,"Break Thou the bread of life, dear Lord",,,
113,114,Come Unto Me,529,11,,"Charles P. Jones, 1865-1959",,"Charles P. Jones, 1865-1959",,,Hear the blessed Savior calling,"Come unto me, I will give you rest.",Matthew 11:28,
114,115,Give Thanks to the Lord,NEW - 84,OSH100,,"Bro. Luke Lowrance, 2006-  
& Elder Bryce H. Lowrance, 1970-  (2017)",,"Bro. Luke Lowrance, 2006-  
& Elder Bryce H. Lowrance, 1970-  (2017)",,,Take thy burdens to the Lord,,,
115,116,Twas With An Everlasting Love,453,10,"WINDHAM, L.M.","Daniel Reed, 1757-1836 (1785); ed.",,"John Kent, 1766-1843",,,Twas with an everlasting love,,,
116,117,The Ninety and Nine,200,10,,"Ira D. Sankey, 1840-1908",,"Elizabeth C. Clephane, 1830-1869",,,There were ninety and nine that safely lay,,,
117,118,I Will Arise And Go To Jesus,261,1,"RESTORATION, 8.7.8.7.","William Walker, 1809-1875 (1835)","arr. by Homer F. Morris, 1875-1955","Joseph Hart, 1712-1768; alt.",,,"Come, ye sinners, poor and needy",I will arise and go to Jesus,,
118,119,"Come, Ye Weary",401,7,,"Elder J. Harvey Daily, 1881-1964",,"Elder J. Harvey Daily, 1881-1964",,,"Come, ye humble and poor",,Matthew 11:28,
119,120,Depth of Mercy,312,1,"SEYMOUR, 7.7.7.7.","C.M. von Weber, 1786-1826",arr. by G.H.W. Greatorex,"Charles Wesley, 1707-1791",,,"Depth of mercy, can there be",,,
120,121,Come Ye Disconsolate,254,4,DISCONSOLATE,"Samuel Webbe, 1740-1816",,"Thomas Moore, 1779-1852",,,"Come, ye disconsolate",,,
121,122,Jesus Heals The Broken Hearted,265,10,"PALMETTO, 8.7.8.7.D.","William Hauser, 1812–1880 (1859)","arr. by Elder Roland Green, 1924-2011",ed. for Old School Hymnal (2020),,,Jesus heals the broken hearted,,,
122,123,At Calvary,503,OLH2,,"D.B. Towner, 1850-1919",,"William R. Newell, 1868-1956 (1895)",,,Years I spent in vanity and pride,"Mercy there was great, and grace",,
123,124,Baptism,251,10,"KING OF PEACE, 7’s.",,"arr. by Elder Roland Green, 1924-2011","Elder John Leland, 1754-1841",,,"Christians, if your hearts are warm",,,
124,125,Triumphal Feast,PBH - 253,OSH100,C.M.,"Elder Bryce H. Lowrance, 1970-  (2000)",,"from Isaac Watts, 1674-1748",,© Copyright 2000 Bryce H. Lowrance. All rights reserved. Used by permission.,Jesus the God invites us here,,,
125,126,Down By The Water Side,242,10,"FOREST, L.M.","Amzi Chapin, 1768-1835 (1820)",,Matthew 3,,,Down by the water side we meet,,,
126,127,The Last Supper,220,10,,"Elder Roland Green, 1924-2011",,"Nels Agee, 1909-1968",,,Just one more time before the door,,,
127,128,Down To The Sacred Wave,222,1,"IDUMEA, S.M.","Ananias Davisson, 1780–1857 (1816)","arr. by Elder Roland Green, 1924-2011","S.F. Smith, 1808-1895 (1843)",,,"Down to the sacred wave, The Lord",,,
128,129,Did Christ the Great Example Lead?,85,2,"BALERMA, C.M.","François H. Barthélémon, 1741-1808","arr. by Robert Simpson, 1790-1832","William Cowper, 1731-1800",,,Did Christ the great example lead,,"John 13:14,15",
